Id,Prediction,Lyrics
0,0.0,Now they know my name wherever I go
1,0.0,"If your girl don't get it poppin', put me on your wishlist"
2,0.0,"P1 cleaner than your church shoes, ah"
3,0.0,"Bodies start to drop, ayy (Hit the floor)"
4,1.0,I don't look to the sky no mo'
5,0.0,"Blame it on crack, you can blame it on the system"
6,0.0,"(Yeah, yeah, yeah)"
7,1.0,"Double R truck, come through, s*** on everybody"
8,1.0,So we could just give in to what we want
9,0.0,"I bought her a 'Rari (Swerve, skrrt), brr ('Rari, yeah)"
10,1.0,"Down, down, down, down, down"
11,1.0,"Baby boy, your love, got me trippin' on you"
12,0.0,"If you wanna Minaj, I got a tricycle"
13,0.0,"I hit his b****, he offended"
14,1.0,When I saw everything is good
15,0.0,"Ain't no mistakes allowed, but make no mistake, I'm 'bout"
16,0.0,"Pop a rubber band, pop another Xan'"
17,0.0,"Diamonds in the ear got big, lil' n****, I told you (They drippy wet)"
18,1.0,"Ride it, from head to toe"
19,0.0,"Granny, she was standin' right there while I catch a play on a brick, woo"
20,0.0,"Privacy on the door, I'ma make the s*** grip"
21,0.0,"I never say anything (Nah), everybody got they thing (True)"
22,0.0,"I need tongue, I need face, give me brain, concentrate"
23,0.0,I can take you to Topanga
24,1.0,Free time is costing me more than it seems
25,0.0,Used to kiss underneath the light on the back of the bus (Yeah)
26,1.0,"Cause' I can't do it anymore, no"
27,0.0,"I won't lose, you can't win"
28,0.0,"I ain't rollin' the dice, no (I ain't rollin' the dice)"
29,0.0,"Think I might be out of my mind, I think that you're the one"
30,0.0,"Grips on your waist, front way, back way"
31,0.0,"So, sugar, sugar, how you get so fly? (Oh, so fly, oh, so fly)"
32,0.0,"I got too many cars, I ain't payin' no note (Note)"
33,1.0,You can't hold my heart no more
34,0.0,You might have to excuse me
35,0.0,I got white Adderalls and I have amoxicillin
36,0.0,I've been dancin' on top of cars and stumblin' out of bars
37,0.0,"I'ma spend this holiday locked in (Ooh, you know, it's like)"
38,1.0,May nothing but death do us part
39,0.0,"Know we got it lit, yeah (Ah)"
40,1.0,"I want you close, ooh (Baby, yeah)"
41,1.0,Lil mama you know I (Show it)
42,1.0,Don't hit me when you hear this and tell me your favorite song
43,0.0,"Get rich or die tryin', I'm feelin' like 50"
44,0.0,"Pulled a 40 with a d***y, gotta kill up y'all"
45,1.0,And then I hope he cheats
46,0.0,"Stackin' ammunition, slap the clip in, cock it back on competition"
47,0.0,Everything was so cool (So cool)
48,0.0,"Any rumor 'bout me, let me dead it (Let me dead it)"
49,1.0,We could meet up anywhere
50,0.0,In the back they playin' twinsies like a Hugh Hefner zoo
51,0.0,Walking towards you with my head down
52,1.0,"Bad man, we no stray baby"
53,1.0,You gon' think about me when I'm gone
54,1.0,You don't wanna start with me
55,0.0,"f*** it, run up them numbers"
56,1.0,What'd I do to deserve it? (What'd I)
57,0.0,"Eazy, and these days it's just you and me"
58,1.0,Haven't I made it obvious? (Have I not made it obvious?)
59,0.0,"I'm not being rude, can you give me my space"
60,0.0,"I don't gotta prove, you steady watchin' all the winnin' n****s"
61,1.0,But is it worth the girl that you're losin'?
62,1.0,Let me apologize
63,1.0,"If I could do it all again, I know I'd go back to you"
64,1.0,But it could be love
65,1.0,Heart is sinking like a cannonball
66,0.0,"Late as s***, cigarette smoke and greatest hits from Marvin Gaye"
67,1.0,"The world is yours, Scarface"
68,0.0,"(Go loco, go loco, go loco)"
69,1.0,What's that sound?
70,1.0,You make my heart shake
71,0.0,"Saturn, Moon, Earth, and Mars (Mars)"
72,0.0,"And if you switch sides, you're gon' have to claim your place (Okay)"
73,1.0,My Lucifer is lonely
74,1.0,Where the chorus?
75,0.0,"The only man, baby, I adore"
76,0.0,"Reach under my shirt, grab a bigger tool"
77,0.0,"In the V12, get a lot of face"
78,0.0,"I go in her mouth, she can't tell me nothin' (Eghck, eghck, egchk)"
79,0.0,"Well, keep switchin' your alibi"
80,0.0,"Percs, Xannys, lean, fame"
81,1.0,"I say ""your place"" when we leave"
82,1.0,Would you love me for the hell of it?
83,1.0,"Without you, all it ever does is snow"
84,0.0,Savage keep a Draco and it corn beef
85,0.0,"Waste the day and spend the night (Yeah, yeah)"
86,1.0,"You forever in my heart, I won't forget about you"
87,0.0,"Its 'YOU ARE A B****', so learn to read fast"
88,1.0,Dreamville head honcho
89,1.0,"Don't want to, but I can't put"
90,0.0,"It's all bronze like a penny, only see fire when I spit it"
91,0.0,I know how to scream my own name
92,1.0,But I'm over you
93,0.0,"In the cold light of day, we're a flame in the wind"
94,1.0,And there's no need to play pretend
95,0.0,It's amazing to me how my baby pull up with a fat a** and a skinny waist
96,0.0,He say he want smoke with me
97,1.0,But you don't want me to touch nobody else (Nobody)
98,1.0,You won't let go
99,1.0,"All night and day (Day, yeah)"
100,0.0,"Phone chirpin', it was next to Tell"
101,0.0,"We were reaching, reaching for the rafters"
102,0.0,"When we see 'em, it's a body (Ayy, ayy, ayy)"
103,0.0,I wanna thank God for workin' way harder than Satan
104,0.0,Had to f*** it up before I let you get to know me
105,1.0,"So, if I put your hands where my eyes can't see"
106,0.0,"My moral compass is janky, it breaks in the South"
107,0.0,"I don't trust nobody, people talking and be telling lies"
108,1.0,"Ain't no catchin' up, I don't rest enough, ugh"
109,0.0,Know some killas pull off and they in the Wraith
110,0.0,"I could show you how to vibe, but I can't be ya man (Yeah, yeah, yeah)"
111,1.0,"Darling, hold my hand"
112,0.0,Can't take back the love that I gave you
113,1.0,"So tired of love songs, tired of love songs"
114,0.0,NLE motherf***in' Choppa
115,1.0,I thought you loved me the most
116,0.0,"Somebody, somebody, somebody on ten"
117,0.0,Got a milli' that's all in my bank (Milli')
118,0.0,"Yeah, my diamonds be VV's (VV's)"
119,1.0,And you are unforgettable
120,0.0,"I like his hang time, he said his head right"
121,1.0,"Lettin' all these hoes run away with yo' cheese, (Slow down, slow down) please"
122,0.0,It's a war zone laying inside my head
123,1.0,I know he's just not right for you
124,1.0,"So it took a year for me to find out (Find out, find out)"
125,0.0,"If I drop dead, I'll be hard to replace"
126,1.0,I ain't finna break or fix the brakes
127,1.0,"(It's the only thing I'll ever do, it's the only thing I'll ever do)"
128,0.0,f*** me up and make me just go crazy
129,0.0,"My attack is vicious, Jack the Ripper, back in business"
130,1.0,Both hands wanna hold you
131,1.0,"You feel the vibe, it's contagious"
132,0.0,You're breaking me
133,1.0,Have some respect
134,0.0,Just like a moth drawn to a flame
135,0.0,"Mr. International, I hit the airport"
136,1.0,"""Hahahaha,"" that s*** iconic"
137,1.0,"Ayy, I'ma need me a new thing (Thing)"
138,0.0,I'ma pray for him 'cause he got MeToo'd
139,1.0,Just free the real until they all free
140,0.0,It ain't my fault that I'm out here makin' news
141,0.0,"Keep it 100, just be real with me (ayy)"
142,1.0,"Before you, baby, I was numb, drown out pain by pourin' up"
143,0.0,"Intentions are pure, they cannot tell me relax"
144,1.0,He used to meet me on the Eastside
145,1.0,"Ooh, you're all that I want"
146,0.0,We be throwin' money in a spiral
147,0.0,"Yeah we were swinging, swinging from the rafters"
148,0.0,"She beggin' me ""Stay over, please"" (Please)"
149,1.0,And the clearest understandin' of what we gotta do to get free
150,1.0,And all these reckless nights you won't regret
151,0.0,I thank God and my lucky stars
152,0.0,"Comin' out, even when it's rainin' down"
153,0.0,"Egotistic, goin' ballistic, why God?"
154,0.0,Wonderin' if I could sneak out the back
155,0.0,"Change hoes like clothes, I can't get attached"
156,1.0,"In the kitchen, up on the table"
157,0.0,I've been peepin' what you bringin' to the table
158,1.0,'Bout where I should've been (Where I should've been)
159,1.0,It's hard to feel you slipping (You need to know)
160,1.0,"(Oh Lord, Jetson made another one)"
161,1.0,All I wanna do is come close to you
162,0.0,"20 of 'em comin', I switched to another spot"
163,0.0,So let the river run
164,1.0,Now you're all in the past
165,1.0,"Oh no, there you go, you're making me a liar"
166,1.0,This ain't for the best
167,0.0,Cardi put the p**** on Offset (Say what?)
168,0.0,Wit' your name on it
169,0.0,"When we hit the bottom, nothin' gon' stop us"
170,0.0,"Pretty much, ain't got a clue"
171,0.0,You can take me anywhere
172,1.0,Meant for something better
173,0.0,"Got pulled over, see the brights"
174,0.0,"Nasty, but don't put nothin' past me"
175,0.0,"Midnight rider, never put the car in park"
176,0.0,"White rum, fizzy pop (Pop)"
177,0.0,From empty souls who just wake up and look to debate
178,0.0,"Left foot up, right foot, slide"
179,0.0,Cartier Bardi in a 'Rari (21)
180,1.0,"Get up, what you waiting for?"
181,1.0,"I'm free to be the greatest here tonight, the greatest"
182,1.0,All we did was care for each other
183,1.0,More than a friend zone (More than a friend zone)
184,0.0,"I'm gon' f*** you to this, make this one your favorite song"
185,0.0,"Bowen Homes, you know, that shiesty s*** (What's hannenin'?)"
186,0.0,"And if you try to tame us, I bet we leave you stained up (Ayy)"
187,0.0,Pull up in a new plate and she might just
188,1.0,Mistaken for love
189,1.0,"No, they don't like you when I'm down"
190,1.0,With all these people all around
191,0.0,I'm gonna ride 'til I can't no more
192,1.0,"Come play the game, honestly never the same"
193,0.0,Who the f*** is this?
194,0.0,"Here's a word to my ladies, don't you give these n****s none (Give 'em none)"
195,0.0,Did they just really give me 80K for thirty minutes? Yup
196,0.0,Diamonds all over my body (Cardi)
197,1.0,Is it too soon to do this yet?
198,0.0,"(I keep on hopin', hot d***)"
199,1.0,I can take you places you ain't been before me
200,1.0,"Can't hear them, no, 'cause I..."
201,1.0,Wonder if you're bendin' over backwards for someone else
202,1.0,'Cause we should try that sometime
203,0.0,Middle fingers to the ones that's not here
204,1.0,Told you from the jump I'd only choose ya
205,0.0,I take time with the ones I choose
206,1.0,And I know you won't tell nobody nothing
207,1.0,"Oh, when did you run out of love for me?"
208,1.0,"Only love, love, love"
209,0.0,"Just like that, come my way (Burr)"
210,1.0,"Oh, is it just me?"
211,1.0,So I call you mine
212,1.0,"Just wait, could you come here please? 'Cause I wanna be with you"
213,0.0,"That's true, that's right (That's right, that's right)"
214,0.0,My private planes 'bout to fly with the good old
215,0.0,Listenin' to my heart instead of my head
216,0.0,"Burn this b**** into the ground, oh well"
217,0.0,"Come f*** with the Mob, shout out to the Lords and the Gods"
218,0.0,And sold all the bundles (Sold all the bundles)
219,0.0,"Sippin' all night, sippin' all day"
220,0.0,"Everywhere I go, they with me"
221,0.0,"Yeah, I'm talkin' 'bout a mansion, no house"
222,1.0,I'm way too good to you
223,0.0,"Breakin' news in my life, I don't run to the blogs"
224,1.0,Live without me
225,0.0,"Bands out, pants down, yeah, I'm thuggin'"
226,0.0,Young bull livin' like an old geezer (ah)
227,0.0,Wanna know how pain feels? I got off my main pills
228,1.0,"If I would give it to you, would you tear that s*** apart?"
229,1.0,I don't believe the hype
230,1.0,"Baby, I'm on a high"
231,0.0,"That Lil Top, uh, hmm, that Lil Top, yeah"
232,0.0,"He told me the whole story over the celly (Brr, hello?)"
233,1.0,"And still, bad things"
234,1.0,"Stay up on that rise and never come down, oh"
235,0.0,You do it (Ayy)
236,0.0,"(Uh, yeah, uh, what?)"
237,1.0,"Now I'm digging up a grave, from my past (Past)"
238,0.0,Wish I would take lil' h* shopping
239,1.0,I Love Trippie Redd
240,0.0,FEATURING KELLY CLARKSON
241,0.0,She was poppin' pills like rappers in society
242,0.0,"Soon as n****s press you, boy, you throw up peace signs, yeah"
243,1.0,I'm asking you to stay
244,0.0,LINKIN PARK AND STEVE AOKI
245,0.0,"Tell me, what's the secret to love? I don't get it"
246,0.0,And you don't seem to give a f***
247,1.0,"Mistaken for love, it wasn't love"
248,0.0,Can't really trust nobody with all this jewelry on you
249,0.0,Sick of these n****s (Sick)
250,0.0,You left your mark (I can't understand)
251,0.0,"Let me know, let me know if you comfortable, ooh (If you're comfortable)"
252,1.0,You ain't enough for me
253,0.0,Acting like we never met
254,1.0,"Baby, break a sweat, break a sweat"
255,0.0,Still had to wait on it (Wait on it)
256,0.0,"I grind, I skate her (Uh)"
257,0.0,"I got a b****, she gon' kill for real, talk about Clyde and Bonnie (Brr)"
258,1.0,(I can't stop the feeling)
259,0.0,"I be walkin' on beats, is you hearin' me? (Huh?)"
260,0.0,"Man, that's over half of the pie"
261,0.0,"Don't know where y'all n****s at, I've been here, I've been back"
262,0.0,Losing friends and I'm chasing sleep
263,0.0,"It's the Don Dada, I stand this Lamborghini on one wheel"
264,0.0,"Half a million out in Vegas, it ain't no blackjack, n****, naw (naw)"
265,0.0,I'm rocking furs on furs (Furs)
266,0.0,"Hell yeah, n****, they can't tell me s*** now, bro, hell no, f*** that"
267,0.0,Black card is my business card
268,0.0,"Oh it's our time to go, but at least we stole the show (Oh)"
269,1.0,"It's always us, it's always us"
270,0.0,"Saucy, ooh, drip drop (Woo)"
271,1.0,I just want somebody to die for
272,1.0,"You ain't gotta worry, don't care about your boyfriend"
273,1.0,Don't wait around for a signal now
274,0.0,Dimming the lights just so that they don't blind us
275,1.0,She loves the way they all crawl back when she says
276,0.0,"And that's why every time you see me, I got some new shoes"
277,0.0,"(Ayy, Brandon, man, why you do that?)"
278,1.0,You and I make so much love
279,1.0,Miss me with that bulls*** (Bulls***)
280,1.0,"Mmm, and nothing breaks like a heart"
281,0.0,'Cause the drinks bring back all the memories (Ayy)
282,0.0,"That's that goofy s***, we ain't into that, boy"
283,1.0,Find me where the wild things are
